Potenza,2023-10-21 08:00:00,950,W
Velocità,2023-10-21 08:15:00,60,km/h
Marcia,2023-10-21 08:30:00,4,rd/min
Battito Cardiaco,2023-10-21 08:45:00,80,bpm
Potenza,2023-10-21 09:00:00,1000,W
Velocità,2023-10-21 09:15:00,58,km/h
Marcia,2023-10-21 09:30:00,3,rd/min
Battito Cardiaco,2023-10-21 09:45:00,76,bpm
Potenza,2023-10-21 10:00:00,920,W
Velocità,2023-10-21 10:15:00,61,km/h
Marcia,2023-10-21 10:30:00,5,rd/min
Battito Cardiaco,2023-10-21 10:45:00,78,bpm
Potenza,2023-10-21 11:00:00,980,W
Velocità,2023-10-21 11:15:00,57,km/h
Marcia,2023-10-21 11:30:00,4,rd/min
Battito Cardiaco,2023-10-21 11:45:00,82,bpm
Battito Cardiaco,2023-10-21 11:45:00,82,bpm
